,dates,desktop,mobile,both,total_users
170,2018-10-13,7500,6400,1600,26
171,2011-11-08,5300,4100,1300,20
172,2019-01-25,5100,10300,0,29
173,2010-01-03,4000,7300,1200,18
174,2021-04-19,3600,4200,1000,15
175,2022-04-08,3700,7900,0,22
176,2010-09-16,5900,3900,0,17
177,2016-10-22,4000,4900,0,20
178,2012-06-21,4900,2400,0,17
179,2018-06-12,7000,3300,0,23
180,2014-09-28,6800,2800,0,18
181,2022-06-20,7900,3900,1200,21
182,2021-08-15,6400,2200,900,18
183,2010-12-08,4000,4200,0,16
184,2021-10-20,5500,4800,1100,21
185,2010-02-20,7100,5400,0,22
186,2019-08-05,5900,3200,0,18
187,2015-06-18,4200,3300,0,16
188,2021-11-27,5000,4300,0,15
189,2017-03-08,6700,8900,0,31
190,2011-02-13,6900,2600,1300,20
191,2022-05-27,6300,7600,0,26
192,2018-03-10,6200,4300,1300,16
193,2021-10-09,5500,4800,0,17
194,2015-05-11,5600,4000,0,21
195,2012-05-08,7900,4300,0,23
196,2016-10-25,5800,7400,0,24
197,2014-02-10,9000,4600,0,31
198,2019-10-10,7200,9100,0,30
199,2015-03-31,3100,6400,1000,17
200,2014-03-23,7300,6500,0,29
201,2013-10-03,4900,6900,2800,20
202,2017-01-06,4500,4500,0,15
203,2021-03-16,4700,6000,0,21
204,2013-07-29,5000,4600,0,20
205,2021-10-14,8000,8700,0,27
206,2018-06-02,7300,6000,1600,25
207,2015-09-05,5900,4100,0,18
208,2014-12-25,4300,7200,0,23
209,2015-04-11,6200,6600,4100,20
210,2020-12-27,1500,6900,400,20
211,2012-09-27,5000,7500,0,19
212,2018-08-22,5400,2900,0,18
213,2018-11-29,6300,4200,0,18
214,2022-02-25,5300,4300,0,20
215,2018-07-18,5300,8800,2000,22
216,2018-08-01,5200,6400,0,18
217,2013-07-23,6500,3500,400,21
218,2016-10-26,7500,6100,1500,22
219,2011-05-04,8300,6400,0,25
220,2017-02-04,6200,4000,0,17
221,2021-08-17,2900,4000,1300,17
222,2018-01-04,4200,5200,0,14
223,2018-09-16,5100,7000,1400,22
224,2014-02-24,8200,7100,1000,23
225,2016-08-06,5600,6400,0,32
226,2021-12-29,7800,3200,0,21
227,2020-08-28,5300,5200,2800,18
228,2015-10-26,3800,7100,1100,21
229,2010-12-02,5400,4700,0,17
230,2013-05-22,4500,6700,0,21
231,2014-03-27,3900,6300,1800,18
232,2014-11-07,4800,3900,0,19
233,2015-08-15,6800,3100,0,16
234,2016-12-01,4100,5400,800,20
235,2019-05-11,7200,3500,0,21
236,2020-01-16,5600,6800,3000,24
237,2018-08-25,4100,1700,0,13
238,2016-07-31,2100,5900,0,17
239,2022-02-17,6300,4500,0,25
240,2010-07-15,7600,3900,2100,23
241,2014-09-23,4700,9600,0,27
242,2022-05-21,5900,3800,0,18
243,2022-03-22,3800,3400,500,17
244,2015-10-16,7400,4100,0,22
245,2022-08-19,1300,4800,1500,15
246,2022-05-29,5700,3100,0,21
247,2016-11-24,4200,4100,0,21
248,2021-01-01,3900,5100,0,19
249,2016-10-20,5300,4100,0,24
250,2019-11-30,3600,5100,0,16
251,2016-02-25,5700,3900,1800,19
252,2011-08-04,4600,5000,0,19
253,2015-12-21,5700,10800,800,30
254,2014-09-16,7200,4600,1800,23
255,2018-05-09,3900,6900,0,24
256,2010-12-14,7400,2900,0,19
257,2019-09-21,2800,4300,0,14
258,2010-04-26,7200,6600,0,26
259,2020-01-28,2300,3000,0,16
260,2012-01-11,5800,5800,0,25
261,2017-09-03,4700,4600,0,17
262,2014-02-07,5500,4700,1100,17
263,2017-03-23,7900,5600,0,25
264,2011-11-30,5100,3300,0,23
265,2021-03-07,6100,5700,0,23
266,2010-04-24,6200,4200,400,22
267,2011-05-13,5300,2200,0,15
268,2022-08-03,3900,8200,3900,20
269,2010-07-06,9300,2800,1600,20
270,2018-04-20,4200,3900,0,19
271,2016-05-02,7600,5500,5100,22
272,2015-01-10,4800,4700,2000,17
273,2014-02-22,3600,4900,0,18
274,2010-11-10,4900,5200,0,21
275,2019-08-24,3800,7500,0,21
276,2021-07-17,1900,6000,0,13
277,2010-07-18,9300,7500,3000,27
278,2019-07-02,2900,5200,0,14
279,2013-07-19,5300,6000,1800,19
280,2019-10-31,4200,4900,0,19
281,2011-12-20,7700,4300,1100,20
282,2017-05-20,4400,5600,2100,21
283,2014-07-19,6300,4700,1600,17
284,2015-12-23,6300,4400,0,19
285,2012-05-19,7700,7700,900,31
286,2015-03-30,6600,4200,0,21
287,2012-10-18,5400,5600,0,25
288,2020-05-06,5000,1100,0,16
289,2018-07-08,6500,4100,0,22
290,2011-05-22,7100,5500,0,27
291,2019-08-07,5700,3900,0,23
292,2017-01-30,1900,5100,0,17
293,2015-08-04,6600,7500,1500,22
294,2011-11-25,5600,5900,0,23
295,2013-02-28,4900,2800,0,15
296,2011-01-12,3800,3600,0,18
297,2012-01-20,4500,10000,0,24
298,2010-05-23,7100,6400,700,22
299,2016-11-21,6900,6100,0,22
300,2022-01-19,8600,6700,1500,25
301,2017-05-03,3500,5100,800,20
302,2016-11-10,8200,7700,500,27
303,2011-04-12,3800,1700,0,11
304,2017-01-21,2900,7500,3300,16
305,2018-01-26,4700,5500,0,21
306,2019-01-11,11100,5400,3400,27
307,2011-12-01,4300,3400,1300,15
308,2010-01-05,8600,4300,0,25
309,2022-04-25,10400,10000,0,33
310,2015-07-15,2200,7500,0,20
311,2011-06-24,5000,5900,900,18
312,2020-03-04,3600,4400,0,15
313,2021-01-24,9200,3600,600,25
314,2021-03-08,4200,9100,0,24
315,2019-11-22,4300,4400,500,19
316,2011-04-26,5000,6700,0,21
317,2018-02-18,8200,2900,0,21
318,2012-06-12,3800,6700,1400,18
319,2020-04-24,7600,4600,2100,22
320,2017-03-21,7000,5100,4200,18
321,2017-01-20,9500,5700,0,26
322,2022-02-06,5800,5600,700,20
323,2012-04-14,6900,5900,1100,25
324,2010-10-02,5400,10100,2800,24
325,2010-06-20,3800,4300,0,16
326,2013-04-20,6400,6700,0,22
327,2013-12-12,8700,4900,0,25
328,2011-04-10,3200,4200,0,18
329,2021-09-18,8200,5900,0,29
330,2018-12-21,5500,8400,0,26
331,2018-12-18,4000,8900,0,22
332,2021-06-11,3800,6300,600,20
333,2011-12-14,8800,8300,1500,28
334,2015-09-29,6000,6600,2500,27
335,2012-12-08,4900,4200,2000,18
336,2021-12-27,5700,4100,0,16
337,2020-01-12,5600,6000,0,24
338,2019-09-15,6300,8300,0,24
339,2010-12-09,3400,8800,800,24
340,2013-10-25,5400,4200,800,18
341,2019-04-18,4000,2900,2300,13
342,2011-07-09,4700,2600,400,17
343,2012-12-27,9400,6300,3100,27
344,2020-07-10,5400,5400,0,23
345,2021-12-04,5700,9000,0,27
346,2010-08-01,8200,8300,0,26
347,2014-08-08,7600,2900,0,17
348,2014-04-11,8800,6500,2400,29
349,2019-03-16,5400,2700,1100,12
350,2011-02-25,3900,4500,0,15
351,2015-05-05,8700,7600,1000,29
352,2013-04-11,4200,7500,0,23
353,2013-03-12,4500,4500,0,19
354,2019-05-29,7400,4400,0,20
355,2015-08-06,2900,3000,1500,18
356,2021-03-24,6200,5400,1700,18
357,2019-01-29,3900,6100,0,20
358,2011-11-21,3300,9200,900,23
359,2010-04-02,4300,5900,0,22
360,2016-04-02,3500,3300,0,14
361,2019-04-20,9500,7700,2300,29
362,2021-03-23,6300,4100,0,20
363,2014-09-02,7100,4900,0,24
364,2017-04-02,1400,1300,0,8
365,2022-10-31,4000,6700,0,22
366,2019-09-24,8200,3000,3000,19
367,2021-06-05,7400,5400,3400,25
368,2019-11-20,5200,4200,900,18
369,2011-01-15,7000,5200,3200,21
370,2020-09-05,4900,4200,500,20
371,2015-08-30,3600,5800,0,21
372,2018-03-23,5900,4200,800,22
373,2014-08-31,5000,4900,1700,17
374,2014-09-30,5400,4900,600,20
375,2010-08-29,5400,6000,700,27
376,2013-03-16,5100,5600,0,21
377,2020-10-24,5400,5200,0,18
378,2015-12-19,7900,2600,300,19
379,2022-06-04,5400,7100,1500,21
380,2020-08-03,5500,6600,2200,19
381,2015-12-31,5300,4000,0,15
382,2018-09-13,4700,5900,600,21
383,2014-05-06,4300,5100,0,20
384,2019-02-27,4900,8500,0,23
385,2014-08-24,6200,6300,0,20
386,2015-03-24,5600,6500,0,23
387,2010-03-17,8600,8000,1000,31
388,2016-08-01,4600,4400,0,18
389,2016-06-29,5600,7900,900,29
390,2015-11-07,7800,3800,0,20
391,2017-01-31,6600,5300,1400,19
392,2018-06-24,6600,5300,0,27
393,2018-10-16,9400,5200,0,26
394,2015-11-22,5100,10500,800,24
395,2010-07-26,4900,7100,0,22
396,2017-11-17,5400,4300,0,20
397,2014-12-10,5800,5300,0,26
398,2010-05-14,4200,6700,0,21
399,2020-01-18,6000,5900,0,25
400,2021-12-03,5100,7100,1000,21
401,2011-12-07,7300,2800,700,19
402,2011-08-09,6100,6900,1400,22
403,2011-12-31,4000,6000,1300,19
404,2019-01-21,4300,8100,0,23
405,2013-06-16,2800,6300,0,17
406,2019-11-11,5600,4800,0,21
407,2012-08-29,3400,6700,0,19
408,2010-11-20,4600,4100,1800,18
409,2018-03-27,7400,6500,1400,21
410,2018-12-31,5800,6200,1500,21
411,2016-08-13,5700,2800,700,17
412,2017-12-07,6500,3300,1200,15
413,2017-02-05,5700,5200,0,22
414,2010-10-12,4300,5000,0,20
415,2021-12-24,3300,4700,0,14
416,2017-01-03,7800,5100,500,24
417,2013-06-21,3400,3000,0,14
418,2012-10-14,7900,7500,2900,25
419,2010-08-08,4100,5200,0,22
420,2016-12-02,7500,9300,1400,27
421,2020-01-10,2100,5500,0,14
422,2011-01-14,6500,6700,0,29
423,2014-04-03,5200,6800,600,26
424,2013-04-16,3900,4100,2100,12
425,2015-04-22,11100,3000,0,25
426,2013-05-09,4500,4700,1100,24
427,2020-07-28,7700,6100,4200,22
428,2020-02-14,4100,3900,0,15
429,2015-12-24,4400,6300,1500,20
430,2010-02-03,5300,4700,0,24
431,2012-12-14,5200,2600,0,18
432,2015-05-27,2200,5600,700,16
433,2017-06-24,7800,3100,0,20
434,2022-01-07,6200,5000,800,20
435,2015-04-16,4700,6600,0,25
436,2017-05-10,8600,6700,3700,25
437,2012-04-26,4000,5000,0,18
438,2021-11-13,8100,6500,1000,30
439,2014-10-15,1100,6200,500,12
440,2022-05-13,12500,7300,1800,34
441,2017-01-13,3200,6100,1200,16
442,2011-01-19,7700,5100,1500,19
443,2011-05-11,4600,6400,600,24
444,2019-01-30,3600,8400,0,25
445,2016-06-20,11600,5500,600,30
446,2017-08-26,6400,3900,0,20
447,2021-05-05,4700,7900,800,23
448,2011-06-15,4700,6000,0,21
449,2017-03-30,6400,6800,1300,21
450,2015-12-26,3400,6500,0,20
451,2021-11-29,8100,5500,0,29
452,2017-12-21,8600,3600,800,24
453,2021-09-23,6400,8200,0,26
454,2021-07-22,3300,7300,0,22
455,2010-09-20,8600,9500,0,31
456,2012-12-30,6200,4700,0,21
457,2013-06-27,9700,4900,1300,20
458,2021-03-22,5500,5500,0,23
459,2020-11-22,4200,5600,800,21
460,2017-12-24,5800,6300,0,27
461,2014-11-21,8000,4000,0,25
462,2017-07-08,10800,5100,0,31
463,2018-10-01,4400,5800,800,22
464,2018-10-30,7800,4400,0,23
465,2013-09-21,6100,5800,1700,20
466,2016-12-29,2100,4900,0,16
467,2020-03-06,5000,4100,600,20
468,2018-01-17,4000,5900,1300,21
469,2020-03-15,6100,5500,700,23
470,2022-02-28,6100,6200,0,25
471,2014-05-29,5200,2800,0,16
472,2012-11-26,8800,7100,2800,29
473,2012-09-17,7200,8800,400,27
474,2013-05-20,5400,7000,1000,23
475,2016-07-07,6900,4200,0,23
476,2022-07-04,5200,7600,1300,27
477,2011-03-25,6500,1900,1500,13
478,2016-08-19,5200,7600,0,22
479,2014-10-08,5900,12300,3000,30
480,2018-01-15,2400,10100,1000,24
481,2016-02-13,3600,4300,0,14
482,2019-12-05,5600,4600,900,20
483,2022-08-28,3600,6400,0,19
484,2022-06-15,5800,3300,300,22
485,2018-03-30,3300,6700,0,23
486,2020-10-31,7100,3800,1200,17
487,2016-01-24,8000,4000,0,22
488,2014-02-11,4000,8500,700,26
489,2018-12-05,5000,9000,2300,24
490,2020-11-02,3200,7100,700,22
491,2018-06-06,2700,6400,0,19
492,2022-02-20,3000,5000,0,22
493,2022-07-03,4800,6900,0,22
494,2015-11-17,9000,6100,1700,30
495,2019-09-01,7400,4900,0,20
496,2021-10-04,4000,8300,0,21
497,2016-02-10,5100,5800,0,19
498,2010-11-26,5200,5200,1800,22
499,2019-06-05,5400,4900,0,20
500,2022-08-26,6400,5300,0,21
501,2011-11-12,5100,5600,1100,21
502,2017-10-28,5600,7200,1000,26
503,2015-04-15,3500,6100,0,21
504,2013-02-18,8400,3400,800,21
505,2011-01-22,5900,7900,600,21
506,2013-05-26,6500,9200,2800,26
507,2017-05-31,6400,5800,0,22
508,2021-01-27,2200,8300,500,20
509,2012-07-18,3600,7600,0,19
510,2011-09-17,5500,4100,1800,15
511,2012-03-03,6900,5400,0,22
512,2018-10-12,6600,7800,0,27
513,2017-01-14,8200,7400,0,25
514,2012-12-16,6100,1600,0,15
515,2019-06-06,5800,7600,0,28
516,2019-11-07,6100,4300,900,17
517,2022-04-30,9800,6200,1000,25
518,2015-03-20,2800,4900,400,17
519,2018-11-30,7300,6000,1700,24
520,2019-12-15,8500,7400,2300,26
521,2011-02-16,8600,6100,2300,27
522,2022-08-30,3100,6500,0,17
523,2021-05-13,7600,5000,1300,23
524,2019-11-19,9000,2000,0,23
525,2015-09-25,7800,9200,0,30
526,2020-12-29,6300,6700,1200,20
527,2020-03-31,6400,3900,3100,18
528,2017-08-20,2000,6600,600,18
529,2010-07-24,7500,5200,0,29
530,2019-02-26,7300,4400,0,23
531,2016-11-07,7000,3700,0,22
532,2014-05-12,7000,7400,1500,23
533,2021-02-01,5200,4700,0,19
534,2015-07-04,4800,4800,0,20
535,2013-09-29,3900,4300,0,17
536,2018-04-21,4500,1900,600,13
537,2019-03-13,3600,4000,0,15
538,2010-03-26,4700,5800,1000,18
539,2015-11-01,5700,6200,1600,20
540,2013-12-15,4200,4100,0,15
541,2021-12-09,5200,4800,0,16
542,2019-12-23,4200,6000,0,20
543,2016-09-20,3500,7100,0,23
544,2010-06-21,4000,5200,700,16
545,2014-04-16,6000,2900,1200,18
546,2014-10-13,2300,6800,800,21
547,2013-06-26,5500,4600,900,21
548,2015-09-22,6600,2900,0,19
549,2017-07-05,5700,5500,0,27
550,2017-02-01,5100,3600,900,16
551,2020-05-24,4500,4200,0,17
552,2022-08-16,7800,8100,0,30
553,2011-10-07,4200,3500,1000,15
554,2022-01-18,5700,6700,0,20
555,2014-02-01,1300,7400,0,19
556,2021-08-07,5000,7400,0,21
557,2021-06-03,4800,7200,0,21
558,2014-03-10,3600,6700,0,20
559,2012-08-09,5800,4200,0,22
560,2015-06-30,6100,6000,500,25
561,2016-11-16,3600,5700,900,21
562,2014-12-17,7300,7800,0,28
563,2016-07-06,5200,3500,1200,18
564,2015-10-13,6000,5400,0,24
565,2019-06-03,3600,1700,0,14
566,2018-04-30,5100,3600,2100,13
567,2016-09-28,6000,7800,0,26
568,2012-01-25,6200,5500,3000,21
569,2013-08-21,7600,3100,1900,20
570,2020-05-18,6100,5800,0,23
571,2016-12-04,8300,3200,0,21
572,2015-08-13,3900,5800,700,17
573,2011-06-19,4900,10400,800,28
574,2017-10-07,4600,5700,1100,17
575,2018-11-19,4500,4900,1100,17
576,2012-04-22,3800,4700,1300,15
577,2018-04-14,8200,6500,0,23
578,2018-02-19,4200,5200,0,20
579,2017-09-04,5800,9900,1300,25
580,2012-03-25,3100,2300,0,12
581,2022-07-11,9100,3900,0,23
582,2014-09-01,3400,6300,0,23
583,2020-10-04,5200,3000,0,18
584,2011-06-21,5000,2900,0,15
585,2016-09-26,6000,2900,0,17
586,2010-09-22,6500,5300,0,23
587,2021-11-15,6100,6100,0,19
588,2016-09-09,6200,5900,0,22
589,2017-09-07,4300,4500,0,18
590,2012-02-20,6400,5400,1100,24
591,2011-11-04,4800,5000,0,21
592,2020-06-01,4800,6600,1000,17
593,2014-12-18,5800,6200,900,22
594,2019-06-12,4900,5400,4300,22
595,2011-01-06,7600,6400,3100,24
596,2012-07-19,6100,7100,1800,21
597,2010-07-29,4100,1900,0,16
598,2014-10-09,5000,4400,500,20
599,2018-04-07,4400,7500,0,24
600,2016-12-17,5700,3000,700,18
601,2020-09-01,6400,8700,2900,25
602,2014-05-03,2500,4800,0,13
603,2012-10-11,8500,8300,1100,33
604,2011-04-01,2700,6300,1300,17
605,2021-02-12,4100,5000,0,15
606,2016-04-26,5600,5200,0,23
607,2022-12-06,2600,3900,0,15
608,2014-12-26,6800,4700,2900,21
609,2020-12-10,5000,5900,0,18
610,2015-04-06,4200,7700,1000,24
611,2018-02-14,4700,3900,0,19
612,2010-05-11,7900,4000,3100,20
613,2011-06-01,8300,6500,0,25
614,2017-10-26,6800,5100,1400,21
615,2017-05-21,3500,10500,1600,22
616,2022-03-29,4700,4500,800,21
617,2014-10-30,4200,3900,600,15
618,2017-06-02,4800,6100,1700,21
619,2016-12-22,6400,6000,0,25
620,2018-05-19,7900,6100,0,27
621,2020-09-10,3800,8200,0,22
622,2011-09-25,4900,7200,500,24
623,2015-04-02,4500,3400,0,16
624,2020-01-26,5600,3100,0,15
625,2019-06-26,7000,6300,0,21
626,2019-12-22,7200,4600,0,23
627,2017-07-25,4600,6500,3200,22
628,2015-10-10,3400,2100,800,14
629,2010-03-27,3200,7400,0,19
630,2016-05-28,1800,2600,0,11
631,2014-11-06,7000,5900,1100,25
632,2010-11-16,2100,8100,0,18
633,2016-10-15,4600,4500,2300,16
634,2021-11-19,7900,1900,1600,17
635,2016-02-20,6100,4000,0,21
636,2022-07-12,6700,4500,400,21
637,2018-10-21,4300,4700,300,14
638,2020-06-13,5400,5000,1700,21
639,2013-06-20,3200,5800,0,20
640,2013-07-28,10400,6500,1400,28
641,2014-01-29,4100,6100,0,19
642,2016-02-07,5900,6200,3600,20
643,2021-09-12,7900,1800,0,25
644,2015-10-24,4700,6800,0,22
645,2018-02-12,4400,4400,0,18
646,2021-07-27,5000,9200,0,26
647,2017-05-08,4000,4900,1000,14
648,2022-12-07,5600,8300,0,28
649,2018-03-12,2000,3800,0,17
650,2015-04-25,9700,4100,0,26
651,2012-05-06,4000,5800,0,19
652,2013-06-03,3600,3700,0,17
653,2020-11-26,8000,5700,0,22
654,2017-05-12,7100,5700,0,26
655,2021-05-12,2900,5800,0,20
656,2020-07-14,3700,3000,0,12
657,2022-05-14,9200,6500,1900,29
658,2013-05-23,6500,8000,2200,26
659,2019-09-23,3900,6000,500,16
660,2010-09-01,4700,5700,0,22
661,2010-12-28,7800,8600,2700,29
662,2013-10-06,3900,9300,1300,23
663,2020-06-27,8600,6000,1300,23
664,2012-03-21,5300,3900,1400,15
665,2018-05-24,5800,3400,1600,20
666,2011-05-05,1900,5300,0,12
667,2011-06-10,4900,5800,1300,19
668,2015-03-23,9000,5400,3000,22
669,2017-01-24,7900,5000,0,20
670,2013-03-24,6600,5900,0,22
671,2022-02-07,8600,5900,1700,26
672,2014-01-18,7000,7300,2800,22
673,2014-11-14,9200,2700,0,20
674,2014-01-24,4100,6700,1200,25
675,2020-08-30,5600,4000,0,21
676,2022-10-02,5800,3400,0,19
677,2018-07-02,4800,2600,0,15
678,2011-11-07,2900,6100,0,17
679,2016-08-20,4100,5700,0,19
680,2010-01-01,7200,7400,1500,23
681,2021-10-16,7800,3300,500,19
682,2020-01-19,2400,5700,0,18
683,2017-05-26,2100,3600,300,11
684,2020-02-19,4000,6400,0,20
685,2021-07-06,7900,4200,600,23
686,2020-07-18,3800,2300,800,15
687,2011-10-14,3100,7100,1300,19
688,2019-02-12,2500,5900,0,17
689,2014-05-22,7900,6700,900,30
690,2022-08-25,3700,6300,0,23
691,2015-05-12,3500,4000,0,16
692,2020-05-08,6500,5800,1000,24
693,2020-03-02,4700,8400,1100,21
694,2014-06-07,3600,6500,900,21
695,2019-07-11,5600,7200,900,24
696,2018-04-08,5600,7600,2300,23
697,2012-03-01,5800,4800,0,21
698,2021-01-29,4600,3800,0,17
699,2016-04-07,2600,6100,0,20
700,2022-09-05,6100,11100,500,30
701,2010-12-31,5500,4500,0,17
702,2012-11-21,5100,8200,0,20
703,2016-10-01,5500,5500,0,25
704,2016-06-05,4500,4500,600,17
705,2020-05-20,5200,4400,1500,18
706,2012-10-15,8100,3800,1500,19
707,2020-10-02,5800,5700,0,25
708,2012-01-03,5700,7300,2100,23
709,2011-07-22,4700,5400,0,21
710,2012-12-22,5100,5400,1400,22
711,2019-08-26,7100,1700,0,19
712,2011-01-18,5100,6500,0,22
713,2012-03-28,10000,5500,900,27
714,2017-03-19,8200,6300,0,25
715,2015-10-30,4800,5200,0,18
716,2019-05-05,3700,6300,1600,17
717,2012-09-21,7100,4000,0,22
718,2011-06-04,3100,3900,0,18
719,2021-11-30,4300,3200,0,13
720,2016-03-11,4000,6800,0,21
721,2019-04-19,6500,7200,0,24
722,2011-10-28,5600,7000,0,23
