,install_dt,installs,Day1_rention
525,2021-11-22,1,0.0
526,2017-01-07,1,0.0
527,2022-04-13,1,0.0
528,2018-07-02,1,1.0
529,2021-09-27,1,0.0
530,2022-12-12,1,0.0
531,2022-03-30,2,0.0
532,2019-01-14,1,0.0
533,2021-03-12,1,0.0
534,2022-05-31,1,0.0
535,2019-01-30,1,0.0
536,2020-07-22,1,0.0
537,2022-08-13,1,0.0
538,2017-08-16,1,1.0
539,2021-09-04,1,0.0
540,2015-02-12,1,0.0
541,2020-03-12,1,0.0
542,2020-11-02,1,0.0
543,2016-10-15,1,0.0
544,2022-04-30,1,0.0
545,2020-01-08,1,0.0
546,2018-03-23,2,0.0
547,2022-01-31,1,0.0
548,2019-11-17,1,0.0
549,2020-07-16,1,0.0
550,2022-05-10,1,0.0
551,2019-01-05,1,0.0
552,2021-12-05,1,0.0
553,2021-03-05,1,0.0
554,2020-02-16,1,0.0
555,2016-10-06,1,0.0
556,2017-07-21,1,0.0
557,2017-12-07,1,0.0
558,2015-03-31,1,0.0
559,2016-04-23,1,0.0
560,2017-03-06,1,0.0
561,2018-04-17,1,0.0
562,2016-12-28,1,0.0
563,2021-03-01,1,0.0
564,2022-12-19,1,0.0
565,2018-06-25,1,0.0
566,2016-09-17,1,0.0
567,2019-10-14,1,0.0
568,2016-05-05,1,0.0
569,2019-09-05,1,0.0
