,caller_id,recipient_id,date
90,116442,479806,2022-01-01
91,335485,208135,2022-03-08
92,119729,141508,2022-10-22
93,433768,333957,2022-05-19
94,358094,237660,2022-02-20
95,88011,392670,2022-08-09
96,321463,442894,2022-02-23
97,156229,347070,2022-03-06
98,225024,367212,2022-12-26
99,356480,36207,2022-01-21
100,179351,106875,2022-07-16
101,32311,347109,2022-12-31
102,259341,142516,2022-06-27
103,387732,491728,2022-03-24
104,223364,441003,2022-12-02
105,264607,183387,2022-10-17
106,444000,469307,2022-04-01
107,236137,197506,2022-10-05
108,157270,499711,2022-05-24
109,210849,219803,2022-08-18
110,215282,256544,2022-07-21
111,128654,157995,2022-06-14
112,187345,243994,2022-07-20
113,45860,432367,2022-10-25
114,338561,486358,2022-10-23
115,183535,475420,2022-07-24
116,141096,441688,2022-05-10
117,314367,58864,2022-08-28
118,206553,157774,2022-10-16
119,254073,109752,2022-08-01
120,225606,88464,2022-07-31
121,213240,495406,2022-06-02
122,168708,194908,2022-02-22
123,114586,317269,2022-05-15
124,234974,386696,2022-05-14
125,417714,146229,2022-08-05
126,193013,439218,2022-07-07
127,419539,49812,2022-01-19
128,162045,33224,2022-01-20
129,144774,232791,2022-01-04
130,349184,82875,2022-02-09
131,402234,290953,2022-12-19
132,218846,477253,2022-12-02
133,220862,447759,2022-06-25
134,330363,94760,2022-09-08
135,252835,378036,2022-06-04
136,467245,110452,2022-11-28
137,216772,136016,2022-11-05
138,198915,27568,2022-01-13
139,388081,11915,2022-11-13
140,127970,24942,2022-10-17
141,168326,309861,2022-10-06
142,147316,313261,2022-06-01
143,202743,255851,2022-01-30
144,497348,482335,2022-08-20
145,225388,319922,2022-05-01
146,203269,472081,2022-06-26
147,466918,269310,2022-02-03
148,334867,336657,2022-04-09
149,215349,460238,2022-09-23
150,428790,267414,2022-02-09
151,264972,465486,2022-09-19
152,166554,59634,2022-04-23
153,79213,412686,2022-07-01
154,237265,58621,2022-02-27
155,22222,376045,2022-08-16
156,483586,101340,2022-09-11
157,55974,151388,2022-01-04
158,101070,93247,2022-08-22
159,350180,277085,2022-05-17
160,308486,139768,2022-07-26
161,144549,248412,2022-09-08
162,277638,442552,2022-01-14
163,117270,284977,2022-07-31
164,394275,226103,2022-11-24
165,475930,351051,2022-12-18
166,121902,319662,2022-05-23
167,282093,384193,2022-10-28
168,123011,54167,2022-07-05
169,344409,38678,2022-12-03
170,350343,53758,2022-11-20
171,59166,237150,2022-10-13
172,232820,459482,2022-07-07
173,143312,464539,2022-10-14
174,83990,150282,2022-05-29
175,38714,70391,2022-08-09
176,174173,382078,2022-05-10
177,239833,499744,2022-12-02
178,447322,11682,2022-03-06
179,217271,93903,2022-03-13
180,388616,236225,2022-12-29
181,444530,370224,2022-06-12
182,495083,367582,2022-05-16
183,122648,38642,2022-02-19
184,240961,187214,2022-02-07
185,74011,208520,2022-11-09
186,127895,360949,2022-08-06
187,202714,307395,2022-08-21
188,64679,168595,2022-07-03
189,314264,407632,2022-08-28
190,88347,73808,2022-10-15
191,114230,429990,2022-04-21
192,6333,479680,2022-12-09
193,279069,463977,2022-03-22
194,89634,189827,2022-08-28
195,117182,192653,2022-05-28
196,37722,401161,2022-05-09
197,162493,452146,2022-10-21
198,238562,313870,2022-10-12
199,270969,273336,2022-07-16
200,125795,425772,2022-02-28
201,443421,497101,2022-12-16
202,208080,283683,2022-11-11
203,343124,162046,2022-01-05
204,217359,53923,2022-10-09
205,284140,170656,2022-02-25
206,499533,471163,2022-08-21
207,202685,162621,2022-04-20
208,392764,158634,2022-04-10
209,474387,122388,2022-07-10
210,422248,268070,2022-01-18
211,38469,328517,2022-09-15
212,167670,494773,2022-01-10
213,421207,293948,2022-10-11
214,378053,172882,2022-11-04
215,13779,404889,2022-03-15
216,416426,460209,2022-11-27
217,53068,114512,2022-09-07
218,395299,111903,2022-10-15
219,110411,198068,2022-07-05
220,52522,74989,2022-01-20
221,308861,425336,2022-02-13
222,4791,140053,2022-03-02
223,476746,81816,2022-03-15
224,186283,316713,2022-10-10
225,126894,97201,2022-08-13
226,205477,156766,2022-12-03
227,423564,205097,2022-01-03
228,196392,188766,2022-10-09
229,485192,91376,2022-11-10
230,197242,202762,2022-09-13
231,138189,388057,2022-06-15
232,222564,243465,2022-10-31
233,482493,106273,2022-06-26
234,202731,125381,2022-10-31
235,214689,238997,2022-10-28
236,276858,94152,2022-07-26
237,134062,70066,2022-05-26
238,50243,87475,2022-01-18
239,344887,354801,2022-07-09
240,490537,281634,2022-05-09
241,329041,105863,2022-04-24
242,201486,208414,2022-04-12
243,97754,441778,2022-09-12
244,367120,108224,2022-01-15
245,165854,152339,2022-04-11
246,122313,102304,2022-09-23
247,343989,189907,2022-02-01
248,332364,105271,2022-03-27
249,260203,332968,2022-02-07
250,406572,152338,2022-02-20
251,101749,180363,2022-07-11
252,322140,289596,2022-05-26
253,352104,391980,2022-05-04
254,185233,87944,2022-03-27
255,212627,10147,2022-11-05
256,247492,339392,2022-02-22
257,366534,373808,2022-05-15
258,286047,129496,2022-07-28
259,267730,389679,2022-05-10
260,112752,156638,2022-01-24
261,128760,128135,2022-09-26
262,184758,5572,2022-07-05
263,334743,206681,2022-06-22
264,429467,96791,2022-07-11
265,261241,312195,2022-06-09
266,410381,230501,2022-05-25
267,198881,212781,2022-11-08
268,233700,457818,2022-11-22
269,169280,352403,2022-04-12
270,292876,436982,2022-04-23
271,368870,311474,2022-01-19
272,83045,219147,2022-12-22
273,2510,107035,2022-09-22
274,35545,85919,2022-09-20
275,297532,42233,2022-12-18
276,389401,414115,2022-02-18
277,310320,469193,2022-06-13
278,281653,17785,2022-09-22
279,215669,198731,2022-07-20
280,397272,221718,2022-05-14
281,249245,242382,2022-08-14
282,276332,99983,2022-05-31
283,454844,362413,2022-09-07
284,80704,235725,2022-10-19
285,204182,40170,2022-05-10
286,110813,103627,2022-03-31
287,291423,253816,2022-07-31
288,45361,317931,2022-03-15
289,1454,74157,2022-05-26
290,269395,178852,2022-12-17
291,264932,138319,2022-05-20
292,15836,457106,2022-08-30
293,108044,447864,2022-03-15
294,111935,37598,2022-11-30
295,89575,431368,2022-05-10
296,395040,106343,2022-07-12
297,381471,337529,2022-08-30
298,496010,253330,2022-01-09
299,149556,164221,2022-09-05
300,70715,117821,2022-03-09
301,295652,362557,2022-04-05
302,424656,184440,2022-01-10
303,226683,473286,2022-01-22
304,373341,253138,2022-05-12
305,24983,243969,2022-12-06
306,480631,8432,2022-07-29
307,204303,166592,2022-07-06
308,24771,212408,2022-09-01
309,26979,216752,2022-04-08
310,102649,74446,2022-06-16
311,122254,288756,2022-08-15
312,245796,449834,2022-12-20
313,18132,415089,2022-08-20
314,97526,481554,2022-11-30
315,245505,31379,2022-01-26
316,490662,66296,2022-09-24
317,247287,499403,2022-04-12
318,196944,351091,2022-10-03
319,470904,91973,2022-11-06
320,323269,199687,2022-09-21
321,39466,95022,2022-08-30
322,342821,374745,2022-05-17
323,349676,84386,2022-06-07
324,64848,13085,2022-01-27
325,159878,496500,2022-09-30
326,356106,326544,2022-07-11
327,182431,2396,2022-08-20
328,357418,52402,2022-07-07
329,324838,233358,2022-08-09
330,76327,34188,2022-06-07
331,406510,440149,2022-05-30
332,179272,335869,2022-07-27
333,409224,249748,2022-08-03
334,343436,152981,2022-02-14
335,56528,409730,2022-06-28
336,303951,320848,2022-10-09
337,108405,197960,2022-11-22
338,116625,297751,2022-09-04
339,27252,215870,2022-06-23
340,498306,161185,2022-11-21
341,72344,97391,2022-04-25
342,287809,402777,2022-10-18
343,328606,344608,2022-06-16
344,155546,353932,2022-12-18
345,400907,243983,2022-05-09
346,10033,355888,2022-05-01
347,243337,463021,2022-03-17
348,345181,455976,2022-12-07
349,328904,249881,2022-10-10
350,35671,419003,2022-07-21
351,57037,109049,2022-04-01
352,366667,481599,2022-01-10
353,422200,279232,2022-04-14
354,320376,47339,2022-01-15
355,35435,187226,2022-02-25
356,481890,12475,2022-01-10
357,343317,92664,2022-05-09
358,185239,259797,2022-08-24
359,257488,57673,2022-12-23
360,93885,490696,2022-09-15
361,147308,419252,2022-02-17
362,200067,285626,2022-05-13
363,118997,371362,2022-02-13
364,272601,330849,2022-02-23
365,18395,159102,2022-12-26
366,377211,423990,2022-03-01
367,133481,251162,2022-03-21
368,492843,484433,2022-01-20
369,368962,59245,2022-08-26
370,246012,30948,2022-02-16
371,224914,407256,2022-11-30
372,353379,197799,2022-04-30
373,331250,428688,2022-03-05
374,141431,249882,2022-10-16
375,305896,276738,2022-12-25
376,81595,87213,2022-01-18
377,445705,36557,2022-10-16
378,315365,263698,2022-08-21
379,199320,397241,2022-04-08
380,399002,457623,2022-12-25
381,1806,399685,2022-10-16
382,149213,350893,2022-11-30
383,219937,312278,2022-07-04
384,167757,7198,2022-06-08
385,414711,469628,2022-01-17
386,414503,49824,2022-11-25
387,463967,316351,2022-04-27
388,167596,129888,2022-06-12
389,401583,351743,2022-08-30
390,260364,441163,2022-08-26
391,270870,216483,2022-11-12
392,314513,273382,2022-03-18
393,259408,54829,2022-07-20
394,137477,23413,2022-01-04
395,296300,175723,2022-09-01
396,232262,355601,2022-04-03
397,162648,243415,2022-09-10
398,104609,21895,2022-09-03
399,72985,482387,2022-11-09
400,35482,361826,2022-01-17
401,372145,391537,2022-07-29
402,459377,481569,2022-06-18
403,360604,77611,2022-01-09
404,14182,152980,2022-01-14
405,116640,337028,2022-03-16
406,246083,18498,2022-05-06
407,270758,37265,2022-09-18
408,352840,95962,2022-07-16
409,58110,432573,2022-05-24
410,116107,391303,2022-08-01
411,323658,408445,2022-09-22
412,162226,390360,2022-05-08
413,75004,164019,2022-02-20
414,228807,217677,2022-01-31
415,344678,75773,2022-09-29
416,207236,447462,2022-07-05
417,471677,197752,2022-03-20
418,154529,156057,2022-05-05
419,392830,148948,2022-05-06
420,178099,170070,2022-04-12
421,70437,55974,2022-05-30
422,186270,9829,2022-02-05
423,390440,362550,2022-08-05
424,468323,111963,2022-09-25
425,86970,349336,2022-06-01
426,151328,457585,2022-04-14
427,10951,296678,2022-10-07
428,29009,405250,2022-05-09
429,283432,152876,2022-03-02
430,252378,281658,2022-07-22
431,204887,86175,2022-01-18
432,185238,111954,2022-07-23
433,154804,431866,2022-06-30
434,377348,379999,2022-04-27
435,95269,227642,2022-09-21
436,201951,123726,2022-02-24
437,141791,325426,2022-08-31
438,418458,3292,2022-02-25
439,92058,325161,2022-07-30
440,266319,50687,2022-09-27
441,145142,139261,2022-09-16
442,266904,8484,2022-07-20
443,32986,455505,2022-08-23
444,304811,311957,2022-02-07
445,148546,498329,2022-12-02
446,128983,101514,2022-12-19
447,9198,430858,2022-07-29
448,113087,280401,2022-07-10
449,245171,412461,2022-12-31
450,266578,96168,2022-01-23
451,15428,296258,2022-04-25
452,212604,362632,2022-02-07
453,457476,446433,2022-02-07
454,139392,116395,2022-12-27
455,497282,116572,2022-07-29
456,414083,239789,2022-06-12
457,214411,270691,2022-07-19
458,136517,398287,2022-09-13
459,26597,382708,2022-11-20
460,227071,363802,2022-03-16
461,208007,376397,2022-01-27
462,319691,324070,2022-06-14
463,347569,358981,2022-04-04
464,164221,381062,2022-01-27
465,59796,439295,2022-04-26
466,62377,235573,2022-11-30
467,25561,78616,2022-01-23
468,176757,220978,2022-12-05
469,270814,491313,2022-04-01
470,4569,369293,2022-10-25
471,273124,389466,2022-05-21
472,466115,134701,2022-03-09
473,446049,306965,2022-06-16
474,326977,347536,2022-07-09
475,175714,101700,2022-06-08
476,203533,466146,2022-04-27
477,435983,166831,2022-12-06
478,299700,333038,2022-03-13
479,184823,83576,2022-06-21
480,265291,75034,2022-05-06
481,498445,244598,2022-01-17
482,286836,468903,2022-04-16
483,432199,160144,2022-11-02
484,250923,161449,2022-12-26
485,463122,259286,2022-03-17
486,386010,249787,2022-10-12
487,465248,210944,2022-07-30
488,447314,86305,2022-05-25
489,450996,446949,2022-03-01
490,278031,131713,2022-03-15
491,283998,102527,2022-12-07
492,305354,128045,2022-10-19
493,411103,354994,2022-10-21
494,251244,238823,2022-05-23
495,334590,310911,2022-08-02
496,198000,325799,2022-12-27
497,324532,251553,2022-07-09
498,208578,362408,2022-02-25
499,127625,442937,2022-03-14
500,254246,59960,2022-01-05
501,264949,472219,2022-06-26
502,249131,278648,2022-03-01
503,236785,91168,2022-06-11
504,5117,331566,2022-12-31
505,448906,210107,2022-01-07
506,486467,497865,2022-01-15
507,136603,34657,2022-04-10
508,49854,181662,2022-09-16
509,152060,179636,2022-10-29
510,8845,172490,2022-05-23
511,491057,79396,2022-09-28
512,216046,112370,2022-05-27
513,155217,71930,2022-07-01
514,416481,165253,2022-05-16
515,61008,221922,2022-08-07
516,206225,9306,2022-11-24
517,449839,152324,2022-07-21
518,324011,25181,2022-07-31
519,445946,1374,2022-08-08
520,82354,144936,2022-06-26
521,31644,499185,2022-09-25
522,359525,92287,2022-07-15
523,38853,166528,2022-03-29
524,468350,394446,2022-12-22
525,6873,488599,2022-01-16
526,199359,165473,2022-07-14
527,311613,176543,2022-07-26
528,166875,308653,2022-12-21
529,15549,104264,2022-09-01
530,56279,435551,2022-06-05
531,168735,486422,2022-01-03
532,320005,322800,2022-07-30
533,455855,268644,2022-10-14
534,259867,67321,2022-10-31
535,256414,35243,2022-07-12
536,457105,80933,2022-12-19
537,331852,169795,2022-07-28
538,230582,322556,2022-10-27
539,390099,318084,2022-11-09
540,337083,305214,2022-04-29
541,199134,221362,2022-05-23
542,473280,347367,2022-07-07
543,334971,272689,2022-11-19
544,497402,234343,2022-12-18
545,194221,126310,2022-11-09
546,208919,295022,2022-07-24
547,155876,493420,2022-08-12
548,113203,248389,2022-07-15
549,132268,486864,2022-07-25
550,453020,67718,2022-11-12
551,107218,411733,2022-02-22
552,331637,406635,2022-08-13
553,177130,433559,2022-07-19
554,138565,364415,2022-10-18
555,241334,297161,2022-11-15
556,259227,260039,2022-12-19
557,425358,364233,2022-01-30
558,121249,388967,2022-09-08
559,149871,44546,2022-08-22
560,345269,32506,2022-04-11
561,370890,108540,2022-03-31
562,136501,448627,2022-09-15
563,22796,499627,2022-12-27
564,395903,175969,2022-11-02
565,342697,147421,2022-06-28
566,238371,200714,2022-09-09
567,236510,87410,2022-03-27
568,42127,41523,2022-08-21
569,447371,407089,2022-04-11
570,328873,349867,2022-12-08
571,346364,417480,2022-08-01
572,389154,320921,2022-08-23
573,346403,26430,2022-02-08
574,229836,1388,2022-12-25
575,476145,353321,2022-08-24
576,301152,66256,2022-01-26
577,233109,496019,2022-05-09
578,367431,209338,2022-10-16
579,330111,360113,2022-11-10
580,178484,314413,2022-09-03
581,42197,84410,2022-01-30
582,253410,384312,2022-07-23
583,299189,457792,2022-12-23
584,265305,417966,2022-02-27
585,420088,116321,2022-06-29
586,222482,14662,2022-06-19
587,416255,382933,2022-02-07
588,174281,86242,2022-04-07
589,433641,494938,2022-07-20
590,398330,336711,2022-09-16
591,403134,281921,2022-02-04
592,399069,264276,2022-11-17
593,384511,55002,2022-01-20
594,313899,258072,2022-08-17
595,220640,204004,2022-03-03
596,399437,100080,2022-10-24
597,1795,279545,2022-09-24
598,106886,22484,2022-02-15
599,216972,23865,2022-02-01
600,3867,214868,2022-08-06
601,343567,93591,2022-08-02
602,30451,124818,2022-07-27
603,398281,363289,2022-05-03
604,259282,266579,2022-07-07
605,151477,305359,2022-07-01
606,4391,385177,2022-08-18
607,106937,458197,2022-01-30
608,279035,235173,2022-10-12
609,106998,111860,2022-05-28
610,129628,93661,2022-12-10
611,234787,56093,2022-02-17
612,329255,409636,2022-05-10
613,130252,54238,2022-04-08
614,246041,196905,2022-08-31
615,276700,190398,2022-03-01
616,73640,492808,2022-04-26
617,19873,16268,2022-10-26
618,20062,282200,2022-12-30
619,415716,263254,2022-09-04
620,436447,23356,2022-07-02
621,191228,438006,2022-08-21
622,431395,222720,2022-11-08
623,452925,10133,2022-07-04
624,340194,201634,2022-12-11
625,178722,19623,2022-05-12
626,352950,165318,2022-10-29
627,25811,8917,2022-08-16
628,27618,475157,2022-10-18
629,318393,149687,2022-01-27
630,251707,81834,2022-11-17
631,146540,386482,2022-08-29
632,302796,452017,2022-06-24
633,256032,124313,2022-10-28
634,3572,402644,2022-01-22
635,5986,251983,2022-07-12
636,216126,162123,2022-12-14
637,95970,211860,2022-05-24
638,423246,163033,2022-02-20
639,476874,290066,2022-02-24
640,425298,57528,2022-06-06
641,62324,120507,2022-05-19
642,80349,36242,2022-01-15
643,465095,178431,2022-04-02
644,417448,327337,2022-07-16
645,408790,246267,2022-03-07
646,495607,170543,2022-04-18
647,452582,451487,2022-06-24
648,89142,304076,2022-12-30
649,292451,453897,2022-07-26
650,166944,14812,2022-08-07
651,243229,22695,2022-11-19
652,293246,183697,2022-03-09
653,45610,111504,2022-10-07
654,219113,404309,2022-06-17
655,378708,434800,2022-11-23
656,171728,293203,2022-06-17
657,149162,488790,2022-06-18
658,221508,137808,2022-06-30
659,309591,449407,2022-08-14
660,482272,375980,2022-10-23
661,208056,156627,2022-09-20
662,243992,8731,2022-07-07
663,219149,110877,2022-09-20
664,175971,32063,2022-04-02
665,193762,473113,2022-05-13
666,495229,355824,2022-03-01
667,226760,34919,2022-11-18
668,292017,295116,2022-04-12
669,19653,50112,2022-03-10
670,327264,376456,2022-05-03
671,473724,198739,2022-09-10
672,290769,307790,2022-01-03
673,486226,453369,2022-08-26
674,219171,219615,2022-11-30
675,288149,367396,2022-01-22
676,52595,250867,2022-11-22
677,257844,54069,2022-09-09
678,103234,396105,2022-09-03
679,353069,255097,2022-04-02
680,477885,117683,2022-05-31
681,390981,183180,2022-07-15
682,177636,180746,2022-04-28
683,368436,169009,2022-06-13
684,475602,290986,2022-01-28
685,162518,247137,2022-07-20
686,12420,420003,2022-09-15
687,478718,177477,2022-07-20
688,240608,292202,2022-07-28
689,360149,100129,2022-12-25
690,308498,175275,2022-11-29
691,118988,91126,2022-01-08
692,222634,221544,2022-07-15
693,484330,333041,2022-07-06
694,333831,430702,2022-02-08
695,443990,431654,2022-02-25
696,374948,230138,2022-08-13
697,108691,415564,2022-04-23
698,124414,218391,2022-01-15
699,248459,127573,2022-01-15
700,56922,18776,2022-02-27
701,450782,486852,2022-11-08
702,453266,136913,2022-06-27
703,422936,39277,2022-05-31
704,275805,290372,2022-09-09
705,212533,75436,2022-05-05
706,380894,195141,2022-02-22
707,454856,275961,2022-04-11
708,341686,75918,2022-01-24
709,410909,267930,2022-11-23
710,100664,79465,2022-05-12
711,419094,5533,2022-06-16
712,284757,124092,2022-05-22
713,84571,98182,2022-05-11
714,88969,192480,2022-11-08
715,443716,21186,2022-04-30
716,81363,12123,2022-06-16
717,479664,350760,2022-08-29
718,144602,2358,2022-11-17
719,426123,160803,2022-12-29
720,37240,200886,2022-12-27
721,385042,206571,2022-05-05
722,100893,29309,2022-08-13
723,472372,127401,2022-02-12
724,26385,200525,2022-02-14
725,389599,148669,2022-11-12
726,360497,254877,2022-06-07
727,113565,273786,2022-11-16
728,334276,272636,2022-09-12
729,308423,182523,2022-08-11
730,422616,291628,2022-02-25
731,42948,297974,2022-03-27
732,274772,180839,2022-10-14
733,203914,350393,2022-10-26
734,71504,29508,2022-12-31
735,187905,84285,2022-01-03
736,389746,226705,2022-05-20
737,360308,17149,2022-05-09
738,347399,346689,2022-10-17
739,351527,258932,2022-10-12
740,471505,26576,2022-06-12
741,430861,313584,2022-07-10
742,380376,130990,2022-04-07
743,305393,221666,2022-08-07
744,83999,447980,2022-04-22
745,452181,360628,2022-04-14
746,289533,286822,2022-06-28
747,92175,391088,2022-02-03
748,146524,381370,2022-01-27
749,311595,287395,2022-12-26
750,63496,144307,2022-08-05
751,279035,21891,2022-11-10
752,462984,206704,2022-05-16
753,73133,235070,2022-03-21
754,146922,106233,2022-07-15
755,253570,326886,2022-07-02
756,372056,180220,2022-05-02
757,289804,52534,2022-06-20
758,218881,378427,2022-06-16
759,440256,81647,2022-02-18
760,191639,189602,2022-08-14
761,74536,194309,2022-11-26
762,35265,198677,2022-08-24
763,270216,402950,2022-01-05
764,330099,352414,2022-12-31
765,323582,41557,2022-05-13
766,243995,24415,2022-02-17
767,6941,39057,2022-12-12
768,264418,260901,2022-11-04
769,225226,428780,2022-11-17
770,194922,193354,2022-07-29
771,486431,455182,2022-12-22
772,68683,162434,2022-03-15
773,64075,420020,2022-12-22
774,33749,39205,2022-10-06
775,295892,410004,2022-01-20
776,316325,320949,2022-08-16
777,471066,124588,2022-08-15
778,229449,206090,2022-11-14
779,38768,260531,2022-09-18
780,149955,99623,2022-11-21
781,137429,207298,2022-12-10
782,131036,485653,2022-02-24
783,446360,183202,2022-02-24
784,330180,451132,2022-07-01
785,21157,130201,2022-02-04
786,173088,321466,2022-01-05
787,406208,2637,2022-03-17
788,454976,238613,2022-01-23
789,379412,253919,2022-03-22
790,404433,438230,2022-12-24
791,46642,149380,2022-12-31
792,163315,222278,2022-10-19
793,462756,60770,2022-04-11
794,5950,276397,2022-11-23
795,347854,364797,2022-04-14
796,379134,323474,2022-07-16
797,375061,396800,2022-08-15
798,387665,22446,2022-04-30
799,454124,253732,2022-06-10
800,484225,498312,2022-10-01
801,204233,463694,2022-10-01
802,26298,8362,2022-09-19
803,356028,374330,2022-10-28
804,84088,420198,2022-12-13
805,403101,306842,2022-04-15
806,492049,1269,2022-06-08
807,87248,186923,2022-01-06
808,419147,327832,2022-07-17
809,120341,372026,2022-06-13
810,471415,92983,2022-03-13
811,200671,279670,2022-01-05
812,436214,17303,2022-03-10
813,365256,242172,2022-12-20
814,90784,364789,2022-09-26
815,392714,93242,2022-06-22
816,57743,194680,2022-09-13
817,226664,456927,2022-04-14
818,354630,252960,2022-02-14
819,319910,316551,2022-04-22
820,10460,232470,2022-12-10
821,201464,166914,2022-01-09
822,362562,218731,2022-07-02
823,313347,172000,2022-08-04
824,52392,374092,2022-06-08
825,111861,387414,2022-07-13
826,414105,478496,2022-07-22
827,301803,68680,2022-10-14
828,444255,152581,2022-11-07
829,104274,492800,2022-09-08
830,499408,482384,2022-12-24
831,293874,18367,2022-11-06
832,15615,495378,2022-07-10
833,474747,381453,2022-08-06
834,474347,325159,2022-03-05
835,363852,45526,2022-04-09
836,477350,262714,2022-10-10
837,85083,245598,2022-10-17
838,386670,16851,2022-05-18
839,225885,292915,2022-03-30
840,280749,285353,2022-05-31
841,259171,299351,2022-11-04
842,146147,354766,2022-12-27
843,228754,417162,2022-04-24
844,369851,242804,2022-10-01
845,156766,397421,2022-10-03
846,389214,255440,2022-02-12
847,303669,205298,2022-08-28
848,235220,486336,2022-08-10
849,401133,469862,2022-11-30
850,292591,398314,2022-05-05
851,358693,363054,2022-03-21
852,236168,453335,2022-04-20
853,253900,167211,2022-07-30
854,265808,119918,2022-11-15
855,250101,343540,2022-10-16
856,343028,319470,2022-02-02
857,102816,308776,2022-06-23
858,488757,184465,2022-02-25
859,466223,274101,2022-06-05
860,422645,85587,2022-10-09
861,121189,54503,2022-08-08
862,127636,269816,2022-08-24
863,12234,214980,2022-06-29
864,371932,85277,2022-06-20
865,390989,355223,2022-01-24
866,210237,128286,2022-04-19
867,427078,472143,2022-03-28
868,43224,173532,2022-01-18
869,56717,406924,2022-03-04
870,415430,219390,2022-04-21
871,236459,365548,2022-03-15
872,216188,15435,2022-09-01
873,21679,227314,2022-02-22
874,478002,463949,2022-06-11
875,407401,280559,2022-06-24
876,364083,494569,2022-11-10
877,310454,272708,2022-03-28
878,261240,60476,2022-03-24
879,366518,140738,2022-03-06
880,131897,350799,2022-07-28
881,438900,496647,2022-03-24
882,35432,110687,2022-06-30
883,403485,433721,2022-12-06
884,131683,257649,2022-07-01
885,426897,122597,2022-04-14
886,17149,428157,2022-07-11
887,202331,254255,2022-01-16
888,260963,244537,2022-11-10
889,10628,204807,2022-10-07
890,154552,292961,2022-01-19
891,125704,115074,2022-12-24
892,344801,167658,2022-06-03
893,476426,106812,2022-12-18
894,211834,176240,2022-10-10
895,446834,302032,2022-09-01
896,185465,292531,2022-03-21
897,362506,30097,2022-08-26
898,189991,131578,2022-03-29
899,144124,345893,2022-09-06
900,63349,95243,2022-07-23
901,43680,279072,2022-04-01
902,271088,340638,2022-03-28
903,87758,439628,2022-03-08
904,19972,251113,2022-05-18
905,421029,9446,2022-02-13
906,363128,107943,2022-12-29
907,378073,408921,2022-03-07
908,141269,334680,2022-07-12
909,380612,13125,2022-03-16
910,249744,13315,2022-07-13
911,169797,90228,2022-06-22
912,498100,209375,2022-03-10
913,40431,471091,2022-07-19
914,406137,398475,2022-03-18
915,351351,262236,2022-08-03
916,430009,459086,2022-07-16
917,345612,446711,2022-08-18
918,142098,301459,2022-06-30
919,431113,342680,2022-10-02
920,307320,163526,2022-03-29
921,144296,50319,2022-08-05
922,313923,316960,2022-11-15
923,369872,365549,2022-10-18
924,443333,441507,2022-08-10
925,463560,443201,2022-01-11
926,280579,274151,2022-09-19
927,175598,186033,2022-03-07
928,399329,37531,2022-04-06
929,411613,241181,2022-08-04
930,213563,275897,2022-12-20
