,0
1101,3411
1102,3414
1103,3416
1104,3417
1105,3419
1106,3423
1107,3426
1108,3432
1109,3434
1110,3437
1111,3438
1112,3443
1113,3449
1114,3452
1115,3456
1116,3457
1117,3459
1118,3460
1119,3461
1120,3464
1121,3467
1122,3468
1123,3471
1124,3472
1125,3473
1126,3474
1127,3476
1128,3477
1129,3479
1130,3481
1131,3482
1132,3483
1133,3484
1134,3489
1135,3493
1136,3495
1137,3502
1138,3505
1139,3506
1140,3509
1141,3516
1142,3518
1143,3521
1144,3524
1145,3532
1146,3534
1147,3537
1148,3538
1149,3546
1150,3547
1151,3549
1152,3551
1153,3553
1154,3554
1155,3559
1156,3563
1157,3566
1158,3571
1159,3572
1160,3575
1161,3578
1162,3586
1163,3591
1164,3592
1165,3594
1166,3595
1167,3597
1168,3598
1169,3599
1170,3603
1171,3605
1172,3606
1173,3607
1174,3608
1175,3611
1176,3616
1177,3618
1178,3620
1179,3622
1180,3624
1181,3626
1182,3628
1183,3630
1184,3633
1185,3642
1186,3643
1187,3646
1188,3651
1189,3652
1190,3653
1191,3661
1192,3662
1193,3665
1194,3668
1195,3672
1196,3674
1197,3676
1198,3680
1199,3686
1200,3687
1201,3689
1202,3691
1203,3693
1204,3697
1205,3699
1206,3703
1207,3706
1208,3709
1209,3715
1210,3717
1211,3721
1212,3727
1213,3728
1214,3734
1215,3736
1216,3738
1217,3748
1218,3752
1219,3756
1220,3757
1221,3759
1222,3761
1223,3763
1224,3766
1225,3767
1226,3769
1227,3771
1228,3775
1229,3776
1230,3777
1231,3780
1232,3781
1233,3782
1234,3783
1235,3784
1236,3786
1237,3789
1238,3792
1239,3793
1240,3794
1241,3795
1242,3796
1243,3797
1244,3798
1245,3803
1246,3806
1247,3809
1248,3813
1249,3814
1250,3820
1251,3821
1252,3823
1253,3824
1254,3831
1255,3832
1256,3836
1257,3837
1258,3839
1259,3841
1260,3842
1261,3843
1262,3845
1263,3855
1264,3865
1265,3866
1266,3867
1267,3870
1268,3874
1269,3877
1270,3879
1271,3882
1272,3886
1273,3889
1274,3893
1275,3895
1276,3899
1277,3903
1278,3907
1279,3912
1280,3914
1281,3915
1282,3917
1283,3921
1284,3925
1285,3927
1286,3929
1287,3932
1288,3936
1289,3938
1290,3944
1291,3945
1292,3946
1293,3947
1294,3950
1295,3952
1296,3955
1297,3958
1298,3961
1299,3963
1300,3968
1301,3969
1302,3970
1303,3975
1304,3978
1305,3980
1306,3986
1307,3990
1308,3991
1309,3992
1310,3993
1311,4001
1312,4004
1313,4006
1314,4009
1315,4014
1316,4019
1317,4020
1318,4024
1319,4025
1320,4026
1321,4047
1322,4050
1323,4056
1324,4058
1325,4059
1326,4061
1327,4063
1328,4068
1329,4069
1330,4079
1331,4081
1332,4083
1333,4085
1334,4086
1335,4087
1336,4088
1337,4090
1338,4092
1339,4093
1340,4094
1341,4099
1342,4100
1343,4101
1344,4104
1345,4105
1346,4107
1347,4108
1348,4111
1349,4113
1350,4116
1351,4118
1352,4119
1353,4120
1354,4121
1355,4122
1356,4123
1357,4126
1358,4128
1359,4132
1360,4135
1361,4138
1362,4139
1363,4140
1364,4143
1365,4145
1366,4148
1367,4149
1368,4151
1369,4152
1370,4153
1371,4155
1372,4157
1373,4158
1374,4163
1375,4168
1376,4171
1377,4175
1378,4177
1379,4178
1380,4180
1381,4185
1382,4187
1383,4190
1384,4192
1385,4196
1386,4198
1387,4199
1388,4200
1389,4203
1390,4207
1391,4212
1392,4215
1393,4218
1394,4220
1395,4225
1396,4227
1397,4231
1398,4232
1399,4250
1400,4254
1401,4260
1402,4265
1403,4266
1404,4268
1405,4271
1406,4273
1407,4274
1408,4278
1409,4283
1410,4284
1411,4285
1412,4294
1413,4295
1414,4302
1415,4304
1416,4308
1417,4315
1418,4317
1419,4318
1420,4321
1421,4323
1422,4330
1423,4336
1424,4339
1425,4343
1426,4345
1427,4346
1428,4354
1429,4355
1430,4356
1431,4359
1432,4362
1433,4366
1434,4377
1435,4379
1436,4381
1437,4383
1438,4385
1439,4386
1440,4387
1441,4388
1442,4391
1443,4392
1444,4395
1445,4396
1446,4399
1447,4406
1448,4407
1449,4410
1450,4412
1451,4413
1452,4415
1453,4416
1454,4417
1455,4423
1456,4427
1457,4428
1458,4429
1459,4430
1460,4435
1461,4442
1462,4444
1463,4448
1464,4452
1465,4453
1466,4454
1467,4463
1468,4464
1469,4485
1470,4491
1471,4492
1472,4493
1473,4505
1474,4508
1475,4509
1476,4512
1477,4515
1478,4519
1479,4531
1480,4532
1481,4538
1482,4544
1483,4546
1484,4556
1485,4560
1486,4563
1487,4566
1488,4568
1489,4569
1490,4570
1491,4571
1492,4574
1493,4576
1494,4581
1495,4585
1496,4586
1497,4587
1498,4589
1499,4594
1500,4596
1501,4599
1502,4600
1503,4601
1504,4603
1505,4605
1506,4610
1507,4617
1508,4621
1509,4622
1510,4624
1511,4626
1512,4628
1513,4631
1514,4633
1515,4634
1516,4637
1517,4642
1518,4646
1519,4651
1520,4653
1521,4655
1522,4656
1523,4657
1524,4660
1525,4664
1526,4665
1527,4671
1528,4675
1529,4676
1530,4677
1531,4680
1532,4682
1533,4683
1534,4684
1535,4687
1536,4695
1537,4698
1538,4701
1539,4704
1540,4706
1541,4709
1542,4711
1543,4712
1544,4713
1545,4717
1546,4726
1547,4733
1548,4741
1549,4742
1550,4743
1551,4748
1552,4751
1553,4753
1554,4754
1555,4756
1556,4758
1557,4761
1558,4762
1559,4767
1560,4768
1561,4769
1562,4772
1563,4774
1564,4775
1565,4782
1566,4784
1567,4786
1568,4787
1569,4788
1570,4790
1571,4791
1572,4795
1573,4800
1574,4801
1575,4807
1576,4810
1577,4813
1578,4814
1579,4816
1580,4817
1581,4823
1582,4829
1583,4832
1584,4836
1585,4843
1586,4844
1587,4846
1588,4847
1589,4848
1590,4850
1591,4857
1592,4858
1593,4864
1594,4866
1595,4868
1596,4872
1597,4873
1598,4874
1599,4875
1600,4876
1601,4877
1602,4879
1603,4881
1604,4883
1605,4885
1606,4886
1607,4887
1608,4889
1609,4890
1610,4891
1611,4895
1612,4897
1613,4899
1614,4901
1615,4908
1616,4909
1617,4910
1618,4914
1619,4916
1620,4922
1621,4925
1622,4928
1623,4933
1624,4935
1625,4941
1626,4946
1627,4951
1628,4953
1629,4954
1630,4957
1631,4958
1632,4959
1633,4960
1634,4962
1635,4963
1636,4964
1637,4966
1638,4968
1639,4974
1640,4977
1641,4978
1642,4979
1643,4981
1644,4985
1645,4986
1646,4987
1647,4990
1648,4992
1649,4997
1650,4999
1651,5000
1652,5001
1653,5004
1654,5006
1655,5008
1656,5017
1657,5019
1658,5023
1659,5025
1660,5028
1661,5035
1662,5036
1663,5041
1664,5050
1665,5056
1666,5058
1667,5068
1668,5069
1669,5071
1670,5073
1671,5075
1672,5089
1673,5092
1674,5096
1675,5101
1676,5102
1677,5103
1678,5106
1679,5107
1680,5108
1681,5111
1682,5113
1683,5114
1684,5115
1685,5117
1686,5129
1687,5144
1688,5151
1689,5159
1690,5163
1691,5165
1692,5167
1693,5169
1694,5174
1695,5175
1696,5179
1697,5180
1698,5181
1699,5183
1700,5194
1701,5197
1702,5205
1703,5206
1704,5207
1705,5209
1706,5211
1707,5215
1708,5217
1709,5222
1710,5225
1711,5227
1712,5229
1713,5235
1714,5236
1715,5240
1716,5242
1717,5243
1718,5244
1719,5245
1720,5251
1721,5255
1722,5257
1723,5258
1724,5268
1725,5270
1726,5272
1727,5273
1728,5277
1729,5282
1730,5286
1731,5288
1732,5290
1733,5297
1734,5300
1735,5301
1736,5303
1737,5304
1738,5305
1739,5315
1740,5320
1741,5331
1742,5335
1743,5339
1744,5342
1745,5344
1746,5346
1747,5347
1748,5351
1749,5352
1750,5355
1751,5363
1752,5365
1753,5370
1754,5373
1755,5374
1756,5375
1757,5376
1758,5378
1759,5380
1760,5385
1761,5386
1762,5393
1763,5397
1764,5399
1765,5402
1766,5405
1767,5407
1768,5414
1769,5416
1770,5417
1771,5419
1772,5420
1773,5424
1774,5426
1775,5427
1776,5428
1777,5430
1778,5439
1779,5443
1780,5445
1781,5446
1782,5449
1783,5456
1784,5457
1785,5458
1786,5459
1787,5460
1788,5461
1789,5464
1790,5468
1791,5470
1792,5479
1793,5480
1794,5487
1795,5491
1796,5493
1797,5494
1798,5498
1799,5504
1800,5516
1801,5518
1802,5523
1803,5529
1804,5530
1805,5531
1806,5533
1807,5535
1808,5538
1809,5541
1810,5544
1811,5549
1812,5550
1813,5551
1814,5554
1815,5556
1816,5559
1817,5560
1818,5563
1819,5564
1820,5565
1821,5566
1822,5570
1823,5572
1824,5582
1825,5588
1826,5591
1827,5597
1828,5600
1829,5601
1830,5609
1831,5613
1832,5621
1833,5624
1834,5626
1835,5632
1836,5633
1837,5634
1838,5636
1839,5637
1840,5643
1841,5647
1842,5652
1843,5653
1844,5658
1845,5660
1846,5662
1847,5663
1848,5666
1849,5667
1850,5668
1851,5675
1852,5676
1853,5678
1854,5680
1855,5683
1856,5692
1857,5694
1858,5698
1859,5699
1860,5711
1861,5712
1862,5715
1863,5717
1864,5724
1865,5725
1866,5728
1867,5729
1868,5734
1869,5735
1870,5737
1871,5738
1872,5739
1873,5742
1874,5744
1875,5746
1876,5748
1877,5751
1878,5756
1879,5760
1880,5769
1881,5770
1882,5773
1883,5774
1884,5775
1885,5776
1886,5781
1887,5782
1888,5783
1889,5784
1890,5788
1891,5789
1892,5790
1893,5793
1894,5798
1895,5801
1896,5804
1897,5807
1898,5810
1899,5811
1900,5815
1901,5823
1902,5824
1903,5826
1904,5828
1905,5834
1906,5835
1907,5841
1908,5849
1909,5856
1910,5857
1911,5859
1912,5863
1913,5865
1914,5866
1915,5870
1916,5877
1917,5878
1918,5882
1919,5883
1920,5885
1921,5886
1922,5888
1923,5890
1924,5894
1925,5895
1926,5896
1927,5899
1928,5900
1929,5902
1930,5908
1931,5911
1932,5912
1933,5913
1934,5915
1935,5916
1936,5919
1937,5922
1938,5923
1939,5932
1940,5934
1941,5935
1942,5936
1943,5938
1944,5944
1945,5949
1946,5950
1947,5951
1948,5965
1949,5970
1950,5980
1951,5986
1952,5987
1953,5988
1954,5990
1955,5998
1956,5999
1957,6004
1958,6005
1959,6025
1960,6027
1961,6030
1962,6033
1963,6035
1964,6037
1965,6039
1966,6040
1967,6041
1968,6042
1969,6046
1970,6048
1971,6057
1972,6061
1973,6062
1974,6073
1975,6074
1976,6076
1977,6078
1978,6082
1979,6085
1980,6091
1981,6093
1982,6097
1983,6098
1984,6106
1985,6113
1986,6115
1987,6119
1988,6120
1989,6124
1990,6127
1991,6129
1992,6134
1993,6136
1994,6145
1995,6148
1996,6152
1997,6153
1998,6154
1999,6158
2000,6166
2001,6167
2002,6168
2003,6171
2004,6173
2005,6174
2006,6175
2007,6179
2008,6180
2009,6182
2010,6188
2011,6191
2012,6192
2013,6194
2014,6196
2015,6205
2016,6209
2017,6213
2018,6227
2019,6235
2020,6240
2021,6241
2022,6246
2023,6249
2024,6256
2025,6259
2026,6260
2027,6272
2028,6274
2029,6278
2030,6281
2031,6284
2032,6288
2033,6295
2034,6296
2035,6299
2036,6302
2037,6308
2038,6310
2039,6312
2040,6315
2041,6316
2042,6318
2043,6319
2044,6320
2045,6326
2046,6333
2047,6339
2048,6341
2049,6342
2050,6343
2051,6349
2052,6355
2053,6358
2054,6361
2055,6362
2056,6364
2057,6372
2058,6375
2059,6376
2060,6377
2061,6380
2062,6385
2063,6386
2064,6388
2065,6399
2066,6410
2067,6411
2068,6412
2069,6415
2070,6417
2071,6420
2072,6421
2073,6422
2074,6427
2075,6432
2076,6434
2077,6438
2078,6439
2079,6440
2080,6442
2081,6444
2082,6449
2083,6451
2084,6455
2085,6456
2086,6457
2087,6458
2088,6461
2089,6462
2090,6471
2091,6480
2092,6481
2093,6488
2094,6489
2095,6490
2096,6493
2097,6494
2098,6500
2099,6501
2100,6503
2101,6506
2102,6509
2103,6511
2104,6516
2105,6517
2106,6521
2107,6523
2108,6524
2109,6525
2110,6527
2111,6528
2112,6540
2113,6545
2114,6547
2115,6548
2116,6551
2117,6552
2118,6555
2119,6556
2120,6561
2121,6563
2122,6564
2123,6570
2124,6572
2125,6573
2126,6574
2127,6576
2128,6577
2129,6582
2130,6585
2131,6590
2132,6591
2133,6599
2134,6601
2135,6603
2136,6605
2137,6612
2138,6621
2139,6624
2140,6628
2141,6631
2142,6633
2143,6635
2144,6636
2145,6645
2146,6646
2147,6647
2148,6650
2149,6652
2150,6656
2151,6657
2152,6658
2153,6660
2154,6662
2155,6663
2156,6664
2157,6666
2158,6668
2159,6673
2160,6675
2161,6676
2162,6678
2163,6681
2164,6684
2165,6693
2166,6696
2167,6698
2168,6702
2169,6707
2170,6710
2171,6715
2172,6718
2173,6724
2174,6725
2175,6733
2176,6734
2177,6736
2178,6737
2179,6741
2180,6743
2181,6748
2182,6752
2183,6753
2184,6754
2185,6756
2186,6759
2187,6762
2188,6771
2189,6778
2190,6780
2191,6782
2192,6783
2193,6787
2194,6788
2195,6791
2196,6794
2197,6795
2198,6796
2199,6804
2200,6809
2201,6812
2202,6815
2203,6816
2204,6817
2205,6818
2206,6824
2207,6825
2208,6826
2209,6828
2210,6829
2211,6834
2212,6837
2213,6843
2214,6845
2215,6846
2216,6853
2217,6854
2218,6857
2219,6859
2220,6861
2221,6864
2222,6866
2223,6870
2224,6872
2225,6873
2226,6882
2227,6885
2228,6889
2229,6907
2230,6909
2231,6910
2232,6913
2233,6914
2234,6915
2235,6919
2236,6920
2237,6923
2238,6928
2239,6932
2240,6935
2241,6936
2242,6937
2243,6938
2244,6939
2245,6941
2246,6946
2247,6948
2248,6952
2249,6957
2250,6958
2251,6959
2252,6960
2253,6962
2254,6963
2255,6966
2256,6970
2257,6974
2258,6976
2259,6981
2260,6984
2261,6986
2262,6988
2263,6989
2264,6991
2265,6994
2266,6995
2267,6997
2268,7002
2269,7004
2270,7007
2271,7013
2272,7017
2273,7018
2274,7019
2275,7023
2276,7024
2277,7029
2278,7031
2279,7034
2280,7037
2281,7039
2282,7041
2283,7045
2284,7046
2285,7047
2286,7056
2287,7060
2288,7061
2289,7066
2290,7070
2291,7072
2292,7075
2293,7080
2294,7084
2295,7085
2296,7086
2297,7088
2298,7089
2299,7090
2300,7091
2301,7093
2302,7099
2303,7100
2304,7102
2305,7103
2306,7104
2307,7105
2308,7108
2309,7116
2310,7117
2311,7118
2312,7119
2313,7123
2314,7125
2315,7129
2316,7132
2317,7134
2318,7135
2319,7138
2320,7140
2321,7141
2322,7142
2323,7146
2324,7152
2325,7156
2326,7158
2327,7159
2328,7164
2329,7165
2330,7166
2331,7172
2332,7173
2333,7174
2334,7177
2335,7178
2336,7182
2337,7184
2338,7186
2339,7187
2340,7188
2341,7193
2342,7198
2343,7199
2344,7202
2345,7213
2346,7214
2347,7215
2348,7216
2349,7217
2350,7220
2351,7221
2352,7225
2353,7228
2354,7229
2355,7231
2356,7236
2357,7241
2358,7243
2359,7249
2360,7251
2361,7253
2362,7254
2363,7259
2364,7260
2365,7262
2366,7268
2367,7271
2368,7277
2369,7281
2370,7282
2371,7283
2372,7291
2373,7294
2374,7295
2375,7301
2376,7303
2377,7310
2378,7311
2379,7317
2380,7320
2381,7322
2382,7325
2383,7326
2384,7327
2385,7330
2386,7331
2387,7334
2388,7335
2389,7339
2390,7342
2391,7345
2392,7350
2393,7351
2394,7352
2395,7359
2396,7363
2397,7368
2398,7371
2399,7375
2400,7379
2401,7380
2402,7382
2403,7387
2404,7388
2405,7394
2406,7400
2407,7401
2408,7402
2409,7408
2410,7409
2411,7410
2412,7415
2413,7421
2414,7424
2415,7425
2416,7426
2417,7428
2418,7435
2419,7440
2420,7444
2421,7447
2422,7449
2423,7452
2424,7453
2425,7463
2426,7464
2427,7466
2428,7467
2429,7468
2430,7470
2431,7474
2432,7476
2433,7483
2434,7485
2435,7486
2436,7487
2437,7493
2438,7495
2439,7497
2440,7499
2441,7500
2442,7501
2443,7502
2444,7504
2445,7505
2446,7507
2447,7508
2448,7512
2449,7513
2450,7521
2451,7534
2452,7547
2453,7548
2454,7549
2455,7572
2456,7573
2457,7574
2458,7575
2459,7577
2460,7578
2461,7582
2462,7583
2463,7584
2464,7585
2465,7589
2466,7591
2467,7593
2468,7597
2469,7599
2470,7600
2471,7607
2472,7610
2473,7616
2474,7622
2475,7623
2476,7625
2477,7628
2478,7631
2479,7635
2480,7639
2481,7641
2482,7646
2483,7651
2484,7653
2485,7665
2486,7673
2487,7674
2488,7675
2489,7678
2490,7680
2491,7686
2492,7687
2493,7688
2494,7690
2495,7694
2496,7699
2497,7700
2498,7701
2499,7705
2500,7709
2501,7710
2502,7712
2503,7715
2504,7717
2505,7719
2506,7721
2507,7727
2508,7728
2509,7731
2510,7734
2511,7738
2512,7741
2513,7744
2514,7748
2515,7749
2516,7751
2517,7755
2518,7756
2519,7762
2520,7763
2521,7764
2522,7768
2523,7770
2524,7771
2525,7776
2526,7778
2527,7780
2528,7790
2529,7791
2530,7794
2531,7803
2532,7806
2533,7810
2534,7814
2535,7816
2536,7819
2537,7826
2538,7828
2539,7830
2540,7835
2541,7838
2542,7840
2543,7841
2544,7846
2545,7848
2546,7849
2547,7850
2548,7853
2549,7854
2550,7856
2551,7860
